"Date","sp500","dowjones","nasdaq","bitcoin","ethereum"
2022-09-25,3585.62,43.93,10575.62,19311.9,1311.8
2022-10-02,3639.66,44.41,10652.41,19415,1315.05
2022-10-09,3583.07,45.12,10321.39,19068.7,1274.57
2022-10-16,3752.75,46.87,10859.72,19204.8,1313.64
2022-10-23,3901.06,47.48,11102.45,20809.8,1619.69
2022-10-30,3770.55,49.03,10475.25,21301.6,1627.07
2022-11-06,3992.93,53.14,11323.33,16795.2,1256.29
2022-11-13,3965.34,50.07,11146.06,16699.2,1217.65
2022-11-20,4026.12,51.56,11226.36,16456.5,1205.15
2022-11-27,4071.7,51.55,11461.5,16884.5,1240.46
2022-12-04,3934.38,50.2,11004.62,17127.2,1266.62
2022-12-11,3852.36,49.8,10705.41,16777.1,1187.18
2022-12-18,3844.82,50.86,10497.86,16837.2,1220.46
2022-12-25,3839.5,50.39,10466.48,16537.4,1195.67
2023-01-01,3895.08,55.02,10569.29,16943.6,1263.9
2023-01-08,3999.09,58.68,11079.16,20958.2,1550.02
2023-01-15,3972.61,57.44,11140.43,22775.7,1625.53
2023-01-22,4070.56,58.97,11621.71,23027.9,1573.07
2023-01-29,4136.48,60,12006.96,23323.8,1666.9
2023-02-05,4090.46,59.82,11718.12,21859.8,1538.34
2023-02-12,4079.09,58.13,11787.27,24631.4,1691.62
2023-02-19,3970.04,57.79,11394.94,23166.1,1594.66
2023-02-26,4045.64,58.32,11689.01,22347.1,1566.73
2023-03-05,3861.59,53.88,11138.89,20467.5,1471.15
2023-03-12,3916.64,50.02,11630.51,26914.1,1758.7
2023-03-19,3970.99,51.78,11823.96,27475.6,1742.34
2023-03-26,4109.31,54.82,12221.91,28456.1,1820.78
2023-04-02,4105.02,54.66,12087.96,27941.2,1848.93
2023-04-09,4137.64,56.5,12123.46,30299.6,2090.59
2023-04-16,4133.52,54.87,12072.46,27813.9,1873.95
2023-04-23,4169.48,54.4,12226.58,29234.1,1907.8
2023-04-30,4136.25,54.41,12235.41,28857.1,1896.48
2023-05-07,4124.08,52.31,12284.74,26777.5,1794.95
2023-05-14,4191.98,51.95,12657.9,27116.2,1819.68
2023-05-21,4205.45,50.34,12975.69,26857.5,1829.91
2023-05-28,4282.37,51.61,13240.77,27072,1892.05
2023-06-04,4298.86,51.74,13259.14,25844,1751.56
2023-06-11,4409.59,53.16,13689.57,26515,1727.79
2023-06-18,4348.33,51.36,13492.52,30533.6,1875
2023-06-25,4450.38,53.26,13787.92,30586.8,1924.53
2023-07-02,4398.95,53.1,13660.72,30288.8,1865.28
2023-07-09,4505.42,52.92,14113.7,30291.4,1931.42
2023-07-16,4536.34,53.05,14032.8,29788.9,1866.25
2023-07-23,4582.23,55.46,14316.66,29353.5,1880.55
2023-07-30,4478.03,54.51,13892.07,29068.1,1836.48
2023-08-06,4464.05,55.45,13644.85,29428.2,1849.94
2023-08-13,4369.71,54.02,13290.78,26099.4,1669.67
2023-08-20,4405.71,53.98,13590.65,26017.1,1647.05
2023-08-27,4515.77,55.29,14031.82,25869.7,1637.05
2023-09-03,4457.49,53.71,13761.53,25901.1,1635.56
2023-09-10,4450.32,53.84,13708.33,26562,1634.41
2023-09-17,4320.06,50.25,13211.81,26579.2,1593.89
2023-09-24,4288.05,51.56,13219.32,26962.7,1670.92
2023-10-01,4308.5,50.28,13431.34,27961.1,1633.58
2023-10-08,4327.78,49.73,13407.23,26852.8,1554.96
